Time_Var,Sensor1_Var,Sensor2_Var,Sensor3_Var,Time_Mean,Sensor1_Mean,Sensor2_Mean,Sensor3_Mean,Time_Kurt,Sensor1_Kurt,Sensor2_Kurt,Sensor3_Kurt,Time_Skew,Sensor1_Skew,Sensor2_Skew,Sensor3_Skew,Time_Max,Sensor1_Max,Sensor2_Max,Sensor3_Max,Time_Min,Sensor1_Min,Sensor2_Min,Sensor3_Min,Time_Median,Sensor1_Median,Sensor2_Median,Sensor3_Median,Time_Std,Sensor1_Std,Sensor2_Std,Sensor3_Std,Activity
8804370751226.215,1.4378276238781073e+32,2.424522054805397e+32,2.1219262993758914e+32,5079877.689922481,1.0168201568976854e+16,2712216310630473.5,1.0937216313162518e+16,-1.2000000341288475,0.8106962859768552,2.0961719312373046,14.929982710691855,-2.894517348944487e-07,1.2297720981261078,-0.689827643943529,3.9097372713923377,10159754,51620001792907715,41100001335144043,79079999923706055,0,-15700000524520874,-57999998331069946,90,5079878.0,5113999843597412.0,3319999873638153.0,8713000297546387.0,2967215.993355761,1.1990945016461828e+16,1.5570876837241368e+16,1.4566833215822482e+16,up
7407432692286.358,2.0968104909960304e+32,2.7426998782604786e+32,8.063081859799057e+31,3712422.8818897638,1.0988137715303986e+16,3802952017418043.5,9234689821859040.0,-1.3080588921091447,2.5894525511558824,2.513575869828794,29.43083966462964,0.17293404067663637,1.9072728394410152,-0.0761869029501379,5.127673879896416,8572320,61529998779296875,49900001287460327,64730000495910645,0,-8500000089406967,-57999998331069946,83100004196167,3571802.0,5290999889373779.0,2680000066757202.0,8366000175476074.0,2721659.9148839954,1.448036771285878e+16,1.6561098629802548e+16,8979466498517079.0,up
6644504822204.097,2.1029263488428176e+32,1.9639434799979463e+32,2.1242399203631273e+32,4405211.044642857,1.1765291963730542e+16,1895508946950680.2,1.1231578589337314e+16,-1.1999999560813261,2.3363202775713834,1.3268974961706723,11.119246326498661,-2.559411123600442e-07,1.7847663567002012,0.34301029426195356,3.423892060914172,8810421,65960001945495605,46299999952316284,79679999351501465,0,20,-41200000047683716,11125,4405211.5,5194499969482422.0,1499500036239624.0,8372499942779541.0,2577693.70216946,1.4501470093900196e+16,1.4014076780144836e+16,1.457477245229965e+16,up
6294838054866.494,2.7423852625613045e+32,2.5570974526551762e+32,1.4577828314391788e+32,4286146.770642201,1.5593857834754744e+16,6219771586208169.0,1.0547083870249124e+16,-1.2000000563803666,1.3451064694506427,0.8669146155259995,21.854953184139767,6.560480219652399e-08,1.4211053427381755,0.08279132722650558,4.588814881130756,8572294,74730000495910645,45899999141693115,76539998054504395,0,475,-39100000262260437,7875,4286147.0,5954999923706055.0,6199999898672104.0,8630999565124512.0,2508951.584799215,1.6560148738949492e+16,1.599092696704971e+16,1.207386777896453e+16,up
4598836663342.524,2.0439119472079425e+32,2.3781751729870508e+32,1.5096938077739253e+32,3580081.3401639345,1.4629632380165102e+16,3965479556165755.5,9969704505498392.0,-0.0149800361464405,0.35752832109317234,1.8644737325016365,18.970202487333342,0.8268421939742187,1.0469051090459118,-0.31797450264432087,4.300662613205788,9048536,64019999504089355,49900001287460327,75920000076293945,0,15,-57999998331069946,11625,3184840.0,5883499860763550.0,5579999983310700.0,8502999782562256.0,2144489.8375470387,1.4296544852543716e+16,1.542133318811007e+16,1.2286959785780718e+16,up
8137613698835.149,2.9328374447655042e+32,1.7642973289226767e+32,1.7403737153937535e+32,4881444.854838709,1.5013629820462198e+16,2465870929581503.5,1.035653512539409e+16,-1.19999943041975,1.3156632456684418,3.6392526525328623,17.779600675951436,5.364015903331669e-07,1.4454859586767432,-1.0440744222164078,4.1817355772172435,9762893,71539998054504395,35999998450279236,76519999504089355,0,40,-54999999701976776,65,4881444.5,5368999958038330.0,4514999985694885.0,8633500099182129.0,2852650.293820669,1.7125529027640298e+16,1.3282685454841866e+16,1.319232244676332e+16,up
12505717591235.238,3.293223461033743e+32,2.639838899135173e+32,2.0191675100125726e+32,6065630.188311689,1.5674561668216416e+16,651974008454907.4,1.0714505182984588e+16,-1.2000007522115121,0.8423072038055994,1.1828930279623426,14.476058973196814,2.341009902958221e-05,1.3809721346485067,-0.18789895738343598,3.850495343346847,12131354,75229997634887695,52000001072883606,78429999351501465,0,275,-47699999809265137,116899995803833,6065595.5,5862500190734863.0,1780500009655952.5,8683000087738037.0,3536342.402997091,1.8147240729746612e+16,1.6247581048067348e+16,1.4209741412188234e+16,walk
35356508082538.69,2.1847725821792086e+32,2.3029712880694775e+32,8.325729216595483e+31,10239488.393822394,1.375489537890815e+16,-5147637430322456.0,8586089735841202.0,-1.2000001371585303,0.18846510020775575,2.4548302285618426,46.05098006593178,1.0055273547055506e-06,1.212922014859733,-0.2905276463924636,6.355892092666065,20478986,57729997634887695,48500001430511475,78979997634887695,0,475,-57999998331069946,91850004196167,10239486.0,5460999965667725.0,-5389999747276306.0,8812999725341797.0,5946133.876943799,1.478097622682348e+16,1.517554377302335e+16,9124543394929678.0,walk
19218661479669.953,3.277371008879785e+32,2.5321293488736032e+32,1.0899908550397273e+32,7533606.167539267,1.3552414721281734e+16,-648404195639475.9,8779294515080519.0,-1.2000108816421406,1.6752288436652707,2.153380349722231,35.254698361864044,3.290740048772913e-05,1.7609640876482229,-0.8458939037461674,5.687736185747987,15067361,68429999351501465,47099998593330383,79730000495910645,0,436899995803833,-57999998331069946,8375,7533530.0,5364999771118164.0,335999995470047.0,8342000007629395.0,4383909.383149925,1.8103510733776984e+16,1.5912665863624496e+16,1.0440262712402056e+16,walk
24796489184788.93,2.1285192834372567e+32,3.2190452391515793e+32,7.211833938931138e+31,8565396.58986175,1.362980642802155e+16,1790928548478310.0,8942385046734789.0,-1.2000076201619643,-0.4197971416699535,1.104477593494197,51.154100525613885,1.704351541749513e-05,0.9927574199379972,-0.24895006067084072,6.614472542794636,17130974,55879998207092285,47999998927116394,79730000495910645,0,35,-57999998331069946,90,8565396.0,4589000225067139.0,2460000067949295.0,8991000175476074.0,4979607.332389667,1.4589445786037442e+16,1.7941697910598036e+16,8492251726680703.0,walk
